eVST-RS,0,2500,205,30,5,1,0.9481344458997611,1004.3146458311987,0
Hotspot,0,2500,205,30,5,1,0.10327556546117478,987.8345210872941,0
eVST-RS,0,2500,205,30,10,1,0.22920076329067562,653.1832122582272,0
Hotspot,0,2500,205,30,10,1,0.08719103820321905,683.664145245617,0
eVST-RS,0,2500,205,30,15,1,0.00010855654532804238,0,0
Hotspot,0,2500,205,30,15,1,0.00025343018945633844,0,0
eVST-RS,0,2500,205,30,5,2,,,0
Hotspot,0,2500,205,30,5,2,0.12541517944199398,1056.636273741879,0
eVST-RS,0,2500,205,30,10,2,0.1787010479062019,569.0593653513912,0
Hotspot,0,2500,205,30,10,2,0.05269334710224882,598.5665567447251,0
eVST-RS,0,2500,205,30,15,2,9.71087641836732e-05,0,0
Hotspot,0,2500,205,30,15,2,0.0004610692543387529,0,0
eVST-RS,0,2500,203,30,5,3,,,0
Hotspot,0,2500,203,30,5,3,0.09582424418985624,1028.456724955228,0
eVST-RS,0,2500,203,30,10,3,0.1430688422187849,626.1623982665917,0
Hotspot,0,2500,203,30,10,3,0.06372190260543675,604.7499790715701,0
eVST-RS,0,2500,203,30,15,3,0.0001677692064170344,0,0
Hotspot,0,2500,203,30,15,3,0.0002396139018685517,0,0
eVST-RS,0,2500,205,30,5,4,1.3206219540020214,1228.5472489724755,0
Hotspot,0,2500,205,30,5,4,0.14500035922348076,1178.5489065436473,0
eVST-RS,0,2500,205,30,10,4,0.14712175149472273,547.2235070388843,0
Hotspot,0,2500,205,30,10,4,0.053014674476422385,503.0049233537804,0
eVST-RS,0,2500,205,30,15,4,0.00021908684602323092,0,0
Hotspot,0,2500,205,30,15,4,0.0005790998254369129,0,0
eVST-RS,0,2500,203,30,5,5,,,0
Hotspot,0,2500,203,30,5,5,0.12864858548847735,999.7637781350371,0
eVST-RS,0,2500,203,30,10,5,0.14235552702820797,686.6991222030518,0
Hotspot,0,2500,203,30,10,5,0.058511583180759885,692.9688823230856,0
eVST-RS,0,2500,203,30,15,5,9.552975988924572e-05,0,0
Hotspot,0,2500,203,30,15,5,0.0002301398760948814,0,0
